Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5018680004675148, Recall: 0.5084844254746421,                 F1 Score: 0.27981593857628184, Accuracy: 0.3276809207814204,                 True Negatives: 248543, True Positives: 29664, False Positives: 558639, False Negatives: 12172
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5019955401957501, Recall: 0.508749394543254,                 F1 Score: 0.2693447073856428, Accuracy: 0.31127019686272844,                 True Negatives: 233825, True Positives: 30449, False Positives: 573357, False Negatives: 11387
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5014412367958823, Recall: 0.5064284106744541,                 F1 Score: 0.27387105418814844, Accuracy: 0.3185786402643996,                 True Negatives: 240574, True Positives: 29905, False Positives: 566608, False Negatives: 11931
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.501863025506992, Recall: 0.5081939142460048,                 F1 Score: 0.2701253299288383, Accuracy: 0.3125410768676283,                 True Negatives: 235012, True Positives: 30341, False Positives: 572170, False Negatives: 11495
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5016364545698292, Recall: 0.5072835530950806,                 F1 Score: 0.2734075158011606, Accuracy: 0.3177482691768608,                 True Negatives: 239755, True Positives: 30019, False Positives: 567427, False Negatives: 11817
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 750, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5018716440527905, Recall: 0.5082127476135152,                 F1 Score: 0.2694659863848498, Accuracy: 0.31152107493598485,                 True Negatives: 234097, True Positives: 30390, False Positives: 573085, False Negatives: 11446
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5010494363544808, Recall: 0.5047315491631001,                 F1 Score: 0.27678283863530173, Accuracy: 0.3233677024515381,                 True Negatives: 245012, True Positives: 29533, False Positives: 562170, False Negatives: 12303
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 200, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5017332920978503, Recall: 0.5077005376968963,                 F1 Score: 0.27295408906364116, Accuracy: 0.31698974580044237,                 True Negatives: 239039, True Positives: 30091, False Positives: 568143, False Negatives: 11745
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5010883725839519, Recall: 0.5049001778497398,                 F1 Score: 0.2763851343483874, Accuracy: 0.32271871738879504,                 True Negatives: 244416, True Positives: 29578, False Positives: 562766, False Negatives: 12258
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 500, 'scale_pos_weight': 15, 'subsample': 0.4}, Precision: 0.5017132586602219, Recall: 0.5076287610112825,                 F1 Score: 0.2736070403017754, Accuracy: 0.3180168147200648,                 True Negatives: 239965, True Positives: 30037, False Positives: 567217, False Negatives: 11799
Params: {'gamma': 0, 'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 750, 'scale_pos_weight': 8, 'subsample': 0.4}, Precision: 0.5008674155920214, Recall: 0.5039171791120538,                 F1 Score: 0.2771137383137125, Accuracy: 0.32399548655034405,                 True Negatives: 245646, True Positives: 29432, False Positives: 561536, False Negatives: 12404
